Id,cnpj,nome_razao_social,nome_fantasia,logradouro,numero,complemento,cep,bairro,municipio,uf,email,telefone
14,07054279000135,MOINHO REGIO ALIMENTOS S/A,NULL,R D,1600,,78098300,DISTRITO INDUSTRIAL,CUIABá,MT,BERNARDO.BADOTTI@MOINHOREGIO.COM.BR,6536678007
15,03146491000171,RESTAURANTE ALEFA LTDA,,RUA GONCALVES DIAS,51,TERREO,80240340,BATEL,CURITIBA,PR,,NULL
16,54481247000104,RESTAURANTE LELLIS TRATTORIA LTDA,,RUA BELA CINTRA,1849,,01415002,CERQUEIRA CESAR,SãO PAULO,SP,,NULL
17,00659838000191,AGROPLANTA COMERCIO DE INSUMOS AGRICOLAS LTDA,AGROPLANTA,RUA DORIVALDO SONCELA,1410,,85825000,DISTRITO INDUSTRIAL,SANTA TEREZA DO OESTE,PR,,4532311133
18,07082549000111,LATICINIOS PALOTINA LTDA,,"ESTRADA MUNICIPAL,",S/N,KM-06,85950000,VILA LA SALLE,PALOTINA,PR,,NULL
19,03943004000100,LATICINIOS SANTA LUCIA LTDA.,,SAIDA PARA LINHA SAO PEDRO,SN,,85795000,ZONA RURAL,SANTA LUCIA,PR,,NULL
20,81670390000109,J.C. SOUZA & GOES LTDA,,RUA DO COMERCIO,314,,85819520,JARDIM MARIA LUIZA,CASCAVEL,PR,,4532236422
21,81661092000152,BRUGIM & CARLESSO LTDA,IMOBILIARIA CIDADE,R PARANA,3242,,85810010,CENTRO,CASCAVEL,PR,,NULL
22,02612457000182,CONDOMINIO EDIFICIO SOLAR MONT BLANC,,RUA DOM PEDRO II,2099,,85812120,CENTRO,CASCAVEL,PR,,NULL
23,78688835000173,EDIFICIO CASA BELLA,,RUA MATO GROSSO,2004,,85812020,CENTRO,CASCAVEL,PR,,NULL
24,04948708000120,AGROPECUARIA NADAI LTDA,,"RODOVIA BR 163, KM 967",S/N,KM 03 ESTRADA VICINAL,78500000,FAZENDA NADAI,COLIDER,MT,nilson@nadaiconforthotel.com.br,4535215051
25,04948708000200,AGROPECUARIA NADAI LTDA,FAZENDA RECREIO II,ESTRADA MAJOVI,SN,,78575000,ZONA RURAL,JUARA,MT,alamocon@terra.com.br,6635324898
26,01991018000165,CALGARO ODONTOLOGIA LTDA,,TRAVESSA EDUARDO BIANCHI,79,,85851270,CENTRO,FOZ DO IGUACU,PR,,4530252021
27,07962420000106,CONSTRUTORA SITE LTDA,,RUA BENJAMIN CONSTANT,128,,85851380,CENTRO,FOZ DO IGUAçU,PR,,4530276526
28,76121862000134,CLUBE DE PESCA MARINGA,CLUBE MARINGA,RUA DOURADO,FINAL,LOTE 67,85855210,PROFILURB I,FOZ DO IGUAçU,PR,,4535273232
29,00335509991,FRANCISCO SMARCZEWSKI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,52456900987,MARA SALETE WYPYCH - 1º REG IMÓVEIS CASCAVEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,78674017000111,2 VARA CIVEL,2 VARA CIVEL - LUIZ FERNANDO CARVALHO,AVENIDA TANCREDO NEVES,2320,CAIXA POSTAL 281,85804260,ALTO ALEGRE,CASCAVEL,PR,,NULL
32,80336985000160,NBC - ARQUITETURA E CONSTRUCOES LTDA,NULL,R MINAS GERAIS,2061,EDIF DAY SAUDE 8.ANDAR SALA 805 E 806,85812035,CENTRO,CASCAVEL,PR,ROSI@ESCRITORIOIGUACU.COM.BR,4533335444
33,06164460000131,SERVICOS DE ASSISTENCIA FAMILIAR FOZ LTDA,SAFF,RUA ALMIRANTE BARROSO,1757,,85851010,CENTRO,FOZ DO IGUAçU,PR,legaliza@borkenhagen.net,4530283535
34,06164460000212,SERVICOS DE ASSISTENCIA FAMILIAR FOZ LTDA,SAFF,AVENIDA RIO GRANDE DO SUL,2355,SALA 03,85884000,CENTRO,MEDIANEIRA,PR,administrativo@planosaff.com.br,4532402008
35,06164460000301,SERVICOS DE ASSISTENCIA FAMILIAR FOZ LTDA,SAFF,RUA DAS COMUNICACOES,1996,SALA 01,85875000,CENTRO,SANTA TEREZINHA DE ITAIPU,PR,,4530283535
36,06164460000484,SERVICOS DE ASSISTENCIA FAMILIAR FOZ LTDA,SAFF,RUA DUQUE DE CAXIAS,867,SALA 03,85877000,CENTRO,SAO MIGUEL DO IGUACU,PR,,4530283535
37,08270350000180,ANTOSZ & LEME LTDA,AUTO POSTO GREEN,AV BRASIL,9107,********,85807030,COQUEIRAL,CASCAVEL,PR,,45991111220
38,19753934000122,AUTO POSTO CAUNETO LTDA,CAUNETO COMBUSTIVEIS,AVENIDA PRESIDENTE KENNEDY,1740,,85950000,CENTRO,PALOTINA,PR,haroldocauneto@hotmail.com,4436496363
39,02037327000163,CAUNETO COMBUSTIVEIS LTDA,CAUNETO COMBUSTIVEIS,AVENIDA PRESIDENTE KENNEDY,1783,,85950000,CENTRO,PALOTINA,PR,haroldocauneto@hotmail.com,4436492649
40,01694099000131,AGROSALTO IMPORTACAO E EXPORTACAO LTDA,AGROSALTO,R SETE DE SETEMBRO,1060,,85824000,RIO DO SALTO,CASCAVEL,PR,,NULL
41,07493196000142,DIGITAL DESIGN SERVICOS DIGITAIS LTDA,DD TELECOM,RODOVIA FEDERAL BR-467,5950,PAVMTOTERREO,85814000,BRAZMADEIRA,CASCAVEL,PR,FINANCEIRO@DDTELECOM.COM.BR,4532202700
42,85518884000123,FRUTANA ALIMENTOS LTDA,,RODOVIA FEDERAL BR-467,S/Nº,KM 110 5 BOX 9 10 11 ANEXO CEASA,85811899,VISTA LINDA,CASCAVEL,PR,gerencia@frutana.ind.br,4532265314
43,75608620000107,HOTEL DE NADAI LTDA,,AVENIDA REPUBLICA ARGENTINA,1332,,85852090,CENTRO,FOZ DO IGUAçU,PR,,NULL
44,11881381000181,INNOVE DISTRIBUIDORA DE ALIMENTOS LTDA,INNOVE DISTRIBUIDORA,RUA OCTAVIANO TEIXEIRA DOS SANTOS,1373,SALA 103,85601030,CENTRO,FRANCISCO BELTRAO,PR,leandro.crotti@innovedistribuidora.com,4635236169
45,07452868000171,NASTAS - ENGENHARIA E CONSTRUCOES LTDA,,RUA MINAS GERAIS,2061,SALA 804 EDIF DAY SAUDE,85812035,CENTRO,CASCAVEL,PR,orgcristal@adslcertto.com.br,4532234462
46,82661265000103,CEGONHA - INDUSTRIA DE ALIMENTOS LTDA,,RUA JULIA LEMES DE CARVALHO,S/N,BRCAO I,85825000,PRQ. INDUSTRIAL SANTA TEREZA,SANTA TEREZA DO OESTE,PR,,4532254454
47,10438152000124,IND. E COM. DE ALIMENTOS MIUS LTDA.,,RUA JULIA LEMES DE CARVALHO,S/N,BRCAO II,85825000,PRQ. INDUSTRIAL SANTA TEREZA,SANTA TEREZA DO OESTE,PR,,4532254454
48,76092014000144,COMERCIO DE VIDROS VERA LTDA,,RUA MARECHAL FLORIANO,4501,,85811150,CANCELLI,CASCAVEL,PR,financeiro@vidracariavera.com,4532254577
49,08981779000185,COMERCIO DE ALUMINIOS VERA LTDA,ALU & GLASS,RUA MARECHAL FLORIANO,4475,,85811150,CLAUDETE,CASCAVEL,PR,,4532254454
50,77780633000194,FOZ DO IGUACU CARTORIO DO PRIMEIRO OFICIO CIVEL,CARTORIO 1 VARA CIVEL,AVENIDA PEDRO BASSO,1001,,85863756,JARDIM POLO CENRO,FOZ DO IGUAçU,PR,,4535736146
51,77878908000127,IGUACU POCOS ARTESIANOS LTDA,IGUACU POCOS ARTESIANOS,R ALCIDES AMADEU MEASSI,355,COND ALBINO N.SCHMIDT,85804607,SANTOS DUMONT,CASCAVEL,PR,ANTONIO@ESCRITORIOIGUACU.COM.BR,4533335444
52,2453929000100,ORTOPLAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,76085125000123,POLINA E CIA LTDA,POLINA LOG,RUA JORGE LACERDA,3819,,85811352,CANCELLI,CASCAVEL,PR,genuir@polina.com.br,45999723918
54,78948668000152,AUTO POSTO QUEBRA GALHO LTDA.,,RODOVIA BR 277,SN,,85825000,CENTRO,SANTA TEREZA DO OESTE,PR,,4533335444
55,77880268000190,VILMAR KRAMPITZ & CIA LTDA,POSTO SAO JOAO,AV AUGUSTO GOMES DE OLIVEIRA,741,,85470000,ALTO ALEGRE,CATANDUVAS,PR,,4532341382
56,05876372000108,AUTO POSTO BARI LTDA,,AVENIDA BRASIL,6855,,85801000,CENTRO,CASCAVEL,PR,,NULL
57,03221740000146,LATICINIOS BOA VISTA LTDA,,RUA CARAJ'A,SN,,85780000,INDUSTRIAL,BOA VISTA DA APARECIDA,PR,,NULL
58,04929990000106,KSBIG HORTIFRUTIGRANJEIROS LTDA,KSBIG HORTIFRUTI,R ESTRADA AREA RURAL,388,LOTE R PAULO LEMINSKI 388,85820899,VISTA LINDA,CASCAVEL,PR,CONTABILIDADE@KSBIG.COM.BR,4533234241
59,07005801000199,CASA DE CARNES ARVOREZINHA LTDA,CASA DE CARNES ARVOREZINHA,RUA SIMAO KAPPEL,237,,90240210,NAVEGANTES,PORTO ALEGRE,RS,,5133391273
60,76064021000132,POSTO BRASIL LTDA,POSTO BRASIL,AV BRASIL,3892,,85816294,SAO CRISTOVAO,CASCAVEL,PR,,4532233771
61,79033619000152,POSTO ACAPULCO DE CASCAVEL LTDA,,RUA JORGE LACERDA,386,,85810220,CENTRO,CASCAVEL,PR,,NULL
62,81034506000113,R P P COMERCIO DE LATARIAS E PECAS LTDA,SUPER AUTO LATAS,AVENIDA BARAO DO RIO BRANCO,1314,,85813170,SAO CRISTOVAO,CASCAVEL,PR,,4532251133
63,11908723000100,PETROGREEN COMERCIO DE COMBUSTIVEIS LTDA,POSTO DUBAI,RUA RIO DE JANEIRO,2802,,85801031,CENTRO,CASCAVEL,PR,postopetrogreen@gmail.com,4530382248
64,01040644000176,INVIOLAVEL UMUARAMA LTDA,ATENDIMENTO 24 HORAS,AVENIDA IPIRANGA,4329,,87501310,ZONA I,UMUARAMA,PR,escritoriorecord@gmail.com,4436214220
65,76702208000114,CONDOMINIO EDIFICIO IMPERATRIZ,,AVENIDA ATLANTICA 2554,2554,,88330906,CENTRO,BALNEARIO CAMBORIU,SC,recepcao@aruveel.com.br,4733671160
66,76766351000170,POSTO 6 RODAS LTDA,POSTO 6 RODAS,AVENIDA TUPI,4453,,85506000,CRISTO REI,PATO BRANCO,PR,,4632233358
67,10783572000148,NATURAL TRAVEL TURISMO LTDA,,RUA SALTO SAN MARTIN,99,SALA A,85855788,LOTEAMENTO COMERCIAL E RESIDENCIAL CATARATAS,FOZ DO IGUACU,PR,master.data@hotmail.com,4539280145
68,01289870000195,ADONAY COMERCIO DE COMBUSTIVEIS LTDA,,AVENIDA TANCREDO NEVES,2483,,85804260,CENTRO,CASCAVEL,PR,nfeposto4rodas@gmail.com,4532265030
69,11517086000140,AUTO POSTO PRISMA LTDA,AUTO POSTO PRISMA,AVENIDA JUSCELINO KUBITSCHECK,4437,,85865000,VILA PORTES,FOZ DO IGUAçU,PR,autopostoprisma@hotmail.com,4530252339
70,08957308000131,"DOC BIER RESTAURANTE, INDUSTRIA E COMERCIO DE BEBIDAS LTDA",,AVENIDA JOSE MUNIA,6200,,15090275,JARDIM FRANCISCO FERNANDES,SãO JOSé DO RIO PRETO,SP,carlos@rissicontabilidade.com.br,1733059030
71,10225284000178,COMERCIO DE MOLAS CASCAVEL LTDA.,,RUA FRANCISCO MARCHEWICZ,118,,85818600,CATARATAS,CASCAVEL,PR,,4532254454
72,09353774000170,TELVOIP SERVICOS DIGITAIS LTDA,DIPELNET,RUA PARANA,3016,,85810010,CENTRO,CASCAVEL,PR,financeiro@dipelnet.com.br,4532202700
73,02825680000108,MCL PECAS AGRICOLAS LTDA,MCL PECAS AGRICOLAS,AVENIDA PRESIDENTE KENNEDY,3154,,85950000,MORADA DO SOL,PALOTINA,PR,contabilidade@mcl.ind.br,45999666655
74,77396109000114,TRR COMERCIO DE COMBUSTIVEL SUL BRASIL LTDA,TRR SUL BRASIL,RODOVIA PR 182 - KM 54,SN,,85950000,JARDIM PROGRESSO,PALOTINA,PR,financeiro@trrsulbrasil.com.br,4436495126
75,77666733000194,AGROSANTIN LTDA,AGROSANTIN,RUA PROFESSOR ADALTO,400,SALA,85470000,LINHA ERVALZINHO,CATANDUVAS,PR,miltonsantin@yahoo.com.br,4532341169
76,19649192000190,SUPERMERCADO FILIPPIN ALVES LTDA,,AVENIDA OITO DE DEZEMBRO,541,EQ COM ADOLFO CHAGAS,85470000,ALTO ALEGRE,CATANDUVAS,PR,superaltoalegre541@gmail.com,45991460972
77,78457538000117,V BRONDANI & CIA LTDA,,AVENIDA PRESIDENTE KENNEDY,2530,SALA 01,85950000,CENTRO,PALOTINA,PR,financeiro@vbrondani.com.br,4436497575
78,76687821000100,HOTEPAR IMOVEIS LTDA,HOTEL PANORAMA,AVENIDA DAS CATARATAS,6798,SALA 04,85855643,PORTO MEIRA,FOZ DO IGUACU,PR,adm@vivazcataratas.com.br,4535298200
79,18180808000163,POSTO MAROSO LTDA,POSTO MAROSO,AVENIDA INDEPENDENCIA,165,,85950000,CENTRO,PALOTINA,PR,,4436495243
80,13734609000136,OLADIR ANTONIO COMELLI LTDA,NOSSO CHAO,AVENIDA PARANA,344,SALA,85470000,CENTRO,CATANDUVAS,PR,NC_OLA@HOTMAIL.COM,4532341426
81,64395260900,MARINA ESTEVES SANTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,07643005000181,MOINHO DE TRIGO UNIAO LTDA.,MOINHO DE TRIGO UNIAO,R PEDRO BERTOGLIO,S/N,LOTE 01 AO 04,85825000,QUADRA 8,SANTA TEREZA DO OESTE,PR,,4435236285
83,77758324000118,HOTEL CARIMA LTDA,GRAND CARIMA RESORT & CONVENTION,AVENIDA DAS CATARATAS,SN,KM 10 CX P 277,85863000,CARIMA,FOZ DO IGUAçU,PR,,NULL
84,00438782000145,GILZANE APOIO ADMINISTRATIVO LTDA,,RUA DOUTOR PEDROSA,445,APT 1505 ANDAR 15 COND ORBIT ED,80420120,CENTRO,CURITIBA,PR,,45999735406
85,74911252987,ELIZABETH AMARAL VILAR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,29414127000139,K NAPOLI TRANSPORTE E LOGISTICA LTDA,K NAPOLI TRANSPORTE E LOGISTICA LTDA,RUA JORGE LACERDA,3819,SALA 1,85811352,CANCELLI,CASCAVEL,PR,genuir@polina.com.br,4532272366
87,01399545000185,RODO RIVA TRANSPORTES LTDA,RODO - RIVA TRANSPORTES,RUA LEOPOLDO CALEGARIO,310,,85859691,ALVORADA,FOZ DO IGUAçU,PR,rodoriva@rodoriva.com.br,4535260088
88,06978007000169,H. KUCINSKI COMERCIO DE CONFECCOES LTDA,,RUA JUSCELINO KUBITSCHEK,623,,85851210,CENTRO,FOZ DO IGUAçU,PR,zarate@lojagaucha.com.br,4530266565
89,06155049000108,J.ZARATE-CONFECCOES,GAUCHA,RUA ELEODORO RODRIGUES SEIXAS,161,SALA 01,85871032,LOTEAMENTO PORTO DOURADO,FOZ DO IGUAçU,PR,zarate@lojagaucha.com.br,4535235510
90,01897733000133,FABIO DE OLIVEIRA COMERCIO DE COMBUSTIVEIS,POSTO JOIA,AV 24 DE OUTUBRO,1940,,85884000,CENTRO,MEDIANEIRA,PR,,NULL
91,01702611000144,NUCLEVEL - MEDICINA NUCLEAR DE CASCAVEL S/S LTDA,NULL,R MARANHAO,1043,,85801050,CENTRO,CASCAVEL,PR,,4532255342
92,81092462000188,TERTULIA - COMERCIO E REPRESENTACAO DE PRODUTOS AGRICOLAS LTDA,,RUA BANDEIRANTES,1069,,85952000,CENTRO,PALOTINA,PR,,NULL
93,02002240000150,R.C.C. MOTOS LTDA,RONY MOTOS,AVENIDA INDEPENDENCIA,667,,85950000,CENTRO,PALOTINA,PR,a.financeiro@ronymotos.com.br,4436494434
94,78669819000133,PALOTINA CARTORIO DO CIVEL E ANEXOS,CARTORIO ADORINAN BALBINO SIQUEIRA,RUA JUSCELINO KUBITSCHEK,1714,,85950000,OSVALDO CRUZ,PALOTINA,PR,adorinansiqueira@uol.com.br,4436495281
95,76309293000155,AVENIDA TENIS CLUBE,ATC,RUA 1 DE JANEIRO,1133,,85950000,CENTRO,PALOTINA,PR,adm@atcpalotina.com.br,4436495025
96,80546781000153,L MOCCI - COMERCIO DE FRUTAS LTDA,MOCCI COMERCIO DE FRUTAS,RUA BAHIA,833,,85952052,IMIGRANTES,PALOTINA,PR,contato@lmocci.com.br,4436495084
97,82201708000175,ADUPLAN COMERCIO DE INSUMOS AGRICOLAS LTDA,,RODOVIA PR 182,4640,KM 279.7,85950000,SAIDA P/TOLEDO,PALOTINA,PR,paulo@realcontabilidade.net.br,4436495052
98,01116076000140,HELIO GENGUINI E CIA LTDA,,RODOVIA BR-467,SN,KM 110.5 BOX 15. 16. 31 E 46 ANEXO AO CEASA,85811899,VISTA LINDA,CASCAVEL,PR,mc-verde@hotmail.com,4533235832
99,77307387000158,PRESCINOTTI & CIA LTDA,NULL,AVENIDA DAS CATARATAS,S/N,KM 03,85863000,CARIMA,FOZ DO IGUACU,PR,,4535296633
100,09226389000162,INSTITUTO DE PROMOCAO TURISTICA DO IGUACU,VISIT IGUASSU,RUA PADRE MONTOYA,490,ANDAR 2 SALA 12,85851080,CENTRO,FOZ DO IGUACU,PR,icvb.financeiro@iguassu.com.br,4530276677
101,00131200000183,FOZCOBRA AGENCIA DE COBRANCAS LTDA,FOZCOBRA,R ALMIRANTE BARROSO,2.085,,85851010,CENTRO,FOZ DO IGUACU,PR,fozcobra@foznet.com.br,4530252225
102,07109117000157,IGUASSU ENGENHARIA E CONSTRUCOES LTDA,,AVENIDA IGUACU,873,,85853230,VILA YOLANDA,FOZ DO IGUAçU,PR,iguassuconstrucoes@uol.com.br,4535230400
103,24279613000178,INTELLTECH TECNOLOGIAS INTELIGENTES S.A,,RUA MARECHAL FLORIANO PEIXOTO,960,SALA 121 A 128 ANDAR 12 EDIF TORRE MARECHAL,85851020,CENTRO,FOZ DO IGUACU,PR,contabilidade@intelltech.com.br,4535231664
104,76459221000194,DENGOS E CHEIROS PERFUMARIA LTDA,DENGOS E CHEIROS,AVENIDA BRASIL,651,,85851000,CENTRO,FOZ DO IGUAçU,PR,,NULL
105,08623676000143,ANTONIO PAVAN DE LIMA & CIA LTDA,MERCADO GISELE,RUA AGUA MARINHA,1259,,85854240,PARQUE OURO VERDE - PORTO MEIRA,FOZ DO IGUAçU,PR,mercadogisele@hotmail.com,4535275140
106,04672043000174,"WUST, CASAROTTO & CIA LTDA",WUST & CASAROTTO,RUA PIO XII,2970,,85801210,CENTRO,CASCAVEL,PR,financeiro2@wustcasarotto.com.br,4532220988
107,01367191000197,CASCAFIL - COMERCIO DE FILTROS LTDA,,RUA RIO GRANDE DO SUL,2548,,85801011,CENTRO,CASCAVEL,PR,,4533335444
108,08576632000100,LEANDRO PEREGRINO LTDA,TIM TOMATEIRO,RODOVIA FEDERAL BR-467,S/N,ANEXO AO CEASA BOX 48 E 49,85811899,VISTA LINDA,CASCAVEL,PR,timverduras@hotmail.com,4533236141
109,07855432000123,CABRAL E GUERO COMERCIO DE COMBUSTIVEIS LTDA,,RODOVIA BR 277,7900,KM 726,85862000,NOVO MUNDO,FOZ DO IGUACU,PR,,4530283310
110,07547687000129,MERCADO MARAVILHA LTDA,,RUA ANGELA APARECIDA ANDRADE,172,,85867500,JARDIM PORTO BELO,FOZ DO IGUAçU,PR,claucio75@hotmail.com,45988123955
111,01421962000187,AUTO POSTO ABC LTDA,AUTO POSTO ABC,AVENIDA REPUBLICA ARGENTINA,2340,,85852016,LOTEAMENTO JARDIM ESMERALDA,FOZ DO IGUAçU,PR,autopostoabc@yahoo.com.br,4535236093
112,28047374000181,AUTO POSTO SAFIRA LTDA,,AVENIDA JAVIER KOELBEL,1385,,85854540,JARDIM ELIZA II,FOZ DO IGUAçU,PR,carlos@coamcontabilidade.com.br,4530283318
113,10602930000179,ROCABALEZ COMERCIO DE COMBUSTIVEIS LTDA,,AVENIDA PARANA,882,,85852000,MARACANA,FOZ DO IGUAçU,PR,coam@coamcontabilidade.com.br,4530283318
114,04413351000185,AUTO POSTO DANUBIO LTDA.,,AVENIDA JUSCELINO KUBITSCHEK,3700,,85865000,VILA PEROLA,FOZ DO IGUACU,PR,,NULL
115,02185423000159,TOZO - COMERCIO DE INSUMOS LTDA,,RUA URUGUAI,215,,85805010,ALTO ALEGRE,CASCAVEL,PR,,4533335444
116,02669371000196,SEMENTES STOCKER LTDA,SEMENTES STOCKER,AVENIDA SANTA CATARINA,106,BRCAO 01,85420000,CENTRO,CORBéLIA,PR,,4532421068
117,06047626000130,STOCKER AUTO POSTO LTDA,STOCKER AUTO POSTO,RODOVIA BR 369,SN,,85420000,KM 500,CORBéLIA,PR,postostocker@hotmail.com,4532421391
118,19811448000113,CLEONES ANDRE MARMENTINI LTDA,PESCADOS CASCAVEL,"RODOVIA BR 277, KM 578",S/N,,85818560,CASCAVEL VELHO,CASCAVEL,PR,NFE@PESCADOSCASCAVEL.COM.BR,45999985858
119,03160144000101,GUERO COMERCIO DE COMBUSTIVEIS LTDA,,"AVENIDA JULES RIMET, ESQ.C/AV.MANE GARRICHA",1550,,85858340,"PQ. MORUMBI, I",FOZ DO IGUACU,PR,,NULL
120,32253887000116,RECANTO CATARATAS HOTEL E CONVENTION LTDA,,AV COSTA E SILVA,3500,,85863762,ALTO SAO FRANCISCO,FOZ DO IGUACU,PR,,4521023000
121,79202719000165,RECANTO CATARATAS PARTICIPACOES LTDA,,AVENIDA COSTA E SILVA,3500,,85863762,ALTO SAO FRANCISCO,FOZ DO IGUAçU,PR,,4535223000
122,75543009000148,HOTEL RAFAIN CENTRO LTDA,HOTEL RAFAIN CENTRO,RUA MAL. DEODORA DA FONSECA,984,,85851030,CENTRO,FOZ DO IGUAçU,PR,financeiro@rafaincentro.com.br,4535213500
123,18211930000150,TAHAL X - ESPECIALIDADES ODONTOLOGICAS LTDA.,ORTOPLAN UNIDADE VILA A,AVENIDA SILVIO AMERICO SASDELLI,1842,SALA 103 E 104,85866000,VILA A,FOZ DO IGUAçU,PR,,4530280727
124,15424210000184,SUPER FISH COMERCIO DE PEIXES E FRUTOS DO MAR LTDA,SUPER FISH,AVENIDA SILVIO AMERICO SASDELLI,1815,,85866000,VILA RESIDENCIAL A,FOZ DO IGUACU,PR,compras@superfishpescados.com,4535240756
125,01057508000199,COOPERATIVA EDUCACIONAL DE FOZ DO IGUACU,,AVENIDA ANHEMBI,1108,,85869030,JARDIM SANTA ROSA,FOZ DO IGUACU,PR,,4530288341
126,07079150000181,RAHAL CENTRO INTEGRADO DE IMPLANTE LTDA.,MASTER INSTITUTO DE ODONTOLOGIA,RUA ALMIRANTE BARROSO,1254,,85851010,CENTRO,FOZ DO IGUAçU,PR,,4530280888
127,73477622000189,SISTEMA DE COMUNICACAO TRES FRONTEIRAS LTDA,RADIO CLASSICA FM,AVENIDA CORONEL FRANCISCO JOSE LUDOLF GOMES,478,,85856580,JARDIM PANORAMA,FOZ DO IGUACU,PR,,4535237705
128,78105475000130,ASSOCIACAO DE MICRO E PEQUENAS EMPRESAS DO PARANA,AMIC PR,RUA MARANHAO,92,,85801051,CENTRO,CASCAVEL,PR,lidiane@bwaconsultoria.com.br,4530365636
129,07999017000143,COM DE HORTIGRANJEIROS LAGARTO LTDA,,RUA DAS MISSOES,2185,,85865030,VILA PORTES,FOZ DO IGUAçU,PR,,4535286832
130,81496911000153,TURAMAR AGENCIA DE VIAGENS LTDA,TURAMAR,RUA SANTO RAFAGNIN,812,,85865370,VILA PORTES,FOZ DO IGUACU,PR,turamar@fnn.net,NULL
131,31204821000173,CLINI SAFF SERVICOS MEDICOS LTDA,CLINI SAFF,R TAROBA,801,,85851220,CENTRO,FOZ DO IGUACU,PR,,4530283535
132,20705427000100,CEZAR COMERCIO DE COMBUSTIVEIS LTDA,CEZAR AUTO POSTO,R EDGARD SCHIMMELPFENG,214,,85863220,CENTRO CIVICO,FOZ DO IGUACU,PR,POSTOCEZAR@GMAIL.COM,4535266561
133,81502684000121,CONDOMINIO EDIFICIO PIETRO ANGELO,,AVENIDA JUSCELINO KUBITSCHECK,626,,85851210,CENTRO,FOZ DO IGUACU,PR,,NULL
134,08389230000104,ORION SOLUCOES EM ILUMINACAO S.A,,"ROD BR 232 KM 57,20",S/N,GALPAOC1,55630000,MAE RAINHA,POMBOS,PE,fiscal@oriondobrasil.com.br,4130567390
135,17356474000173,NATURAL PORK ALIMENTOS S.A.,EXCELENCIA CARNES SUINAS,AVENIDA JOSE APARECIDO RIBEIRO,1881,LETRA S,78450000,EXPANSAO URBANA,NOVA MUTUM,MT,fiscal@excelenciamt.com.br,6533085500
